Algorithm: Greedy Vertex Coloring
Vertex colors:
0 1
1 2
2 3
3 0
4 1
5 2
6 3
7 0
8 1
9 2
10 3
11 0
12 1
13 2
14 3
15 0
16 1
17 2
18 3
19 0
20 1
21 2
22 3
23 0
24 1
25 2
26 3
27 0
28 1
29 2
30 3
31 0
32 1
33 2
34 3
35 0
36 1
37 2
38 3
39 0
40 1
41 2
42 3
43 0
44 1
45 2
46 3
47 0
48 1
49 2
50 3
51 0
52 1
53 2
54 0
55 1
56 2
57 0
58 1
59 2
60 0
61 1
62 2
63 0
64 1
65 2
66 0
67 1
68 2
69 0
70 1
71 2
72 0
73 1
74 2
75 0
76 1
77 2
78 0
79 1
80 2
81 0
82 1
83 2
84 0
85 1
86 2
87 0
88 1
89 2
90 0
91 1
92 2
93 0
94 1
95 2
96 0
97 1
98 2
99 0
Colors used: 4
Valid: true
Execution time: 0.010526 ms
